Name,Year,SUM(Count)
Eva,1880,614
Eva,1881,661
Eva,1882,765
Eva,1883,879
Eva,1884,929
Eva,1885,971
Eva,1886,1155
Eva,1887,1131
Eva,1888,1329
Eva,1889,1377
Eva,1890,1447
Eva,1891,1419
Eva,1892,1611
Eva,1893,1668
Eva,1894,1681
Eva,1895,1772
Eva,1896,1779
Eva,1897,1716
Eva,1898,1830
Eva,1899,1591
Eva,1900,2097
Eva,1901,1628
Eva,1902,1735
Eva,1903,1789
Eva,1904,1868
Eva,1905,1820
Eva,1906,1764
Eva,1907,1892
Eva,1908,1941
Eva,1909,1914
Eva,1910,2133
Eva,1911,2118
Eva,1912,2648
Eva,1913,2903
Eva,1914,3418
Eva,1915,4094
Eva,1916,4355
Eva,1917,4303
Eva,1918,4576
Eva,1919,4496
Eva,1920,4509
Eva,1921,4346
Eva,1922,4212
Eva,1923,3996
Eva,1924,4081
Eva,1925,3875
Eva,1926,3503
Eva,1927,3426
Eva,1928,3227
Eva,1929,3036
Eva,1930,3031
Eva,1931,2614
Eva,1932,2534
Eva,1933,2307
Eva,1934,2406
Eva,1935,2182
Eva,1936,2012
Eva,1937,2074
Eva,1938,1919
Eva,1939,1873
Eva,1940,1899
Eva,1941,1873
Eva,1942,1893
Eva,1943,1816
Eva,1944,1669
Eva,1945,1603
Eva,1946,1659
Eva,1947,1794
Eva,1948,1782
Eva,1949,1668
Eva,1950,1629
Eva,1951,1579
Eva,1952,1711
Eva,1953,1603
Eva,1954,1710
Eva,1955,1790
Eva,1956,1926
Eva,1957,1812
Eva,1958,1760
Eva,1959,1636
Eva,1960,1691
Eva,1961,1526
Eva,1962,1509
Eva,1963,1462
Eva,1964,1433
Eva,1965,1341
Eva,1966,1297
Eva,1967,1209
Eva,1968,1050
Eva,1969,1090
Eva,1970,1024
Eva,1971,971
Eva,1972,894
Eva,1973,872
Eva,1974,853
Eva,1975,771
Eva,1976,778
Eva,1977,827
Eva,1978,855
Eva,1979,800
Eva,1980,843
Eva,1981,863
Eva,1982,851
Eva,1983,825
Eva,1984,755
Eva,1985,764
Eva,1986,736
Eva,1987,699
Eva,1988,761
Eva,1989,794
Eva,1990,787
Eva,1991,825
Eva,1992,769
Eva,1993,733
Eva,1994,769
Eva,1995,751
Eva,1996,794
Eva,1997,765
Eva,1998,844
Eva,1999,975
Eva,2000,1093
Eva,2001,1157
Eva,2002,1333
Eva,2003,1515
Eva,2004,1735
Eva,2005,2473
Eva,2006,2787
Eva,2007,2898
Eva,2008,2963
Eva,2009,3391
Eva,2010,3275
Eva,2011,3463
Eva,2012,3355
Eva,2013,3422
Eva,2014,3657
